t(s),X(m),Y(m),Z(m)
5.000000000000000278e-02,-3.697091465194995430e-01,-4.862624034008464907e-02,5.821015880930782704e-02
1.833333333333333204e-01,-1.001036558832440360e+00,2.126969374117579636e-01,6.577670517421903007e-01
2.000000000000000111e-01,-1.210718550852367015e+00,2.769452068522316179e-01,9.145680332467672757e-01
2.166666666666666741e-01,-1.182305249429885130e+00,2.151806302080375710e-01,9.283595404454645372e-01
2.333333333333333370e-01,-1.164395797820318990e+00,1.128909761651552823e-01,7.724594161624005473e-01
2.666666666666666630e-01,-1.237721707139697092e+00,3.663952239522979409e-02,6.962300652549384683e-01
2.833333333333333259e-01,-1.316813823722658539e+00,-1.623937379502291695e-02,6.329897244771326426e-01
3.333333333333333148e-01,-1.072172562281291430e+00,1.177410030781868289e-02,8.767002480370663653e-01
3.499999999999999778e-01,-1.047676497981662402e+00,-1.845997048630602239e-02,8.785773771149776312e-01
3.666666666666666408e-01,-9.701202227955778579e-01,-7.149638395224303111e-02,9.244162553832649953e-01
4.000000000000000222e-01,-1.109459329219092183e+00,-1.061050942877219544e-01,7.549642267681309082e-01
4.166666666666666852e-01,-1.128052986803509627e+00,-1.315741899999835207e-01,7.198294571467813707e-01
4.333333333333333481e-01,-1.066922860486167579e+00,-1.429422739006225018e-01,7.850601275761928122e-01
4.500000000000000111e-01,-8.590494224003388801e-01,-1.876354061421895147e-01,9.839584543591459731e-01
4.666666666666666741e-01,-9.460806307338538446e-01,-1.800835356116295971e-01,8.943739874022353931e-01
5.000000000000000000e-01,-8.797074868565519790e-01,-2.089993882746924991e-01,9.502197901407885006e-01
5.166666666666667185e-01,-9.128772758302240442e-01,-2.282141663488888861e-01,9.072740929467343340e-01
5.666666666666666519e-01,-8.430007213637947805e-01,-2.697986896548953961e-01,9.635094063622616778e-01
5.999999999999999778e-01,-7.188461820284530734e-01,-3.169301546045714124e-01,1.075109084447225527e+00
6.166666666666666963e-01,-5.404804462478277616e-01,-3.741906249806996598e-01,1.238769423393976998e+00
6.500000000000000222e-01,-5.720798798969817245e-01,-3.569285614149913521e-01,1.211595722607204717e+00
6.666666666666666297e-01,-5.505107329005289873e-01,-3.561374417373114332e-01,1.233587758881705909e+00
6.833333333333333481e-01,-5.300488344260627649e-01,-3.536731671719326453e-01,1.254863233793350297e+00
6.999999999999999556e-01,-5.223206650643124060e-01,-3.821060728459133582e-01,1.262235096522740907e+00
7.166666666666666741e-01,-5.044990451562975098e-01,-3.283759043330239935e-01,1.285863819576445799e+00
7.333333333333332815e-01,-4.594597447486153396e-01,-2.101312748023443366e-01,1.338323706672305935e+00
7.500000000000000000e-01,-3.975629891668049920e-01,-6.319130034673785257e-02,1.406819911230178910e+00
8.000000000000000444e-01,-3.317283987998964623e-01,7.469024686586292483e-02,1.476527191343762535e+00
8.166666666666666519e-01,-2.742159607864563253e-01,1.653180193333399495e-01,1.533381081762768883e+00
8.333333333333333703e-01,-2.422004817497164231e-01,1.695805951243356258e-01,1.559368059748696078e+00
8.499999999999999778e-01,-2.224006638640450562e-01,1.996102148578281776e-01,1.575865370886667449e+00
8.666666666666666963e-01,-1.858097385792506495e-01,2.173748250518527936e-01,1.610849238577344078e+00
8.833333333333333037e-01,-1.950567712386450381e-01,3.090750773747764080e-01,1.588400386628651351e+00
9.000000000000000222e-01,-1.951145661019144939e-01,3.820421433164962188e-01,1.577370223544893868e+00
9.166666666666666297e-01,-1.794581514384066268e-01,4.081522283099948689e-01,1.579045352481661446e+00
9.333333333333333481e-01,-1.381134453806139861e-01,4.225073470955805766e-01,1.627270238740104791e+00
9.499999999999999556e-01,-7.293974892014552791e-02,4.133422062510538342e-01,1.714502328918094731e+00
9.666666666666666741e-01,1.611568318413836853e-01,3.930996358394625023e-01,1.968211174011231579e+00
9.833333333333332815e-01,-1.654032571684747321e-01,3.766456430866607086e-01,1.685206433137258930e+00
1.000000000000000000e+00,-2.725142126104663221e-01,3.146601503803618805e-01,1.606739787828355581e+00
1.016666666666666607e+00,-4.529349498805547158e-01,3.462888541675751553e-01,1.417478388264066691e+00
1.033333333333333437e+00,-4.188806499753681134e-01,3.777603322551366660e-01,1.440720438957215244e+00
1.050000000000000044e+00,-1.708419131381171685e-01,3.965538683391754970e-01,1.669720067864373547e+00
1.066666666666666652e+00,2.905174820196061991e-01,4.034325452077958118e-01,2.103902277492342598e+00
1.083333333333333259e+00,2.979979188669297230e-01,3.238634609040761947e-01,2.123669436999731097e+00
1.100000000000000089e+00,5.209406671069920503e-01,2.329416863975072582e-01,2.350791306722733509e+00
1.116666666666666696e+00,5.288865239847277966e-01,2.508820713985535633e-01,2.352504355566843675e+00
1.133333333333333304e+00,6.059201700346814601e-01,2.414737130914417218e-01,2.425736472720193326e+00
1.149999999999999911e+00,6.879353551637563680e-01,2.345212116127924074e-01,2.503633192607336078e+00
1.166666666666666741e+00,7.693657988593696206e-01,2.298204047339304501e-01,2.580941427321662651e+00
1.183333333333333348e+00,8.540924532072891040e-01,2.272984300340926411e-01,2.661341780707951354e+00
1.199999999999999956e+00,9.447649575415117962e-01,2.293611630087808717e-01,2.747175954637075090e+00
1.216666666666666563e+00,1.038441632475172405e+00,2.346803780112949323e-01,2.835700863883610534e+00
1.233333333333333393e+00,1.138650205873308119e+00,2.448644116520881653e-01,2.930110062871661203e+00
1.250000000000000000e+00,1.235860851548967299e+00,2.588483616709709723e-01,3.021364263125828842e+00
1.266666666666666607e+00,1.324411982581728875e+00,2.762479867253985200e-01,3.104057919411432387e+00
